table_name,constraint_name,constraint_type,column_name,references_table,references_column
ai_usage,2200_25888_3_not_null,CHECK,null,null,null
ai_usage,2200_25888_1_not_null,CHECK,null,null,null
ai_usage,2200_25888_2_not_null,CHECK,null,null,null
ai_usage,ai_usage_pkey,PRIMARY KEY,day,ai_usage,identity
ai_usage,ai_usage_pkey,PRIMARY KEY,identity,ai_usage,day
ai_usage,ai_usage_pkey,PRIMARY KEY,identity,ai_usage,identity
ai_usage,ai_usage_pkey,PRIMARY KEY,day,ai_usage,day
api_usage,2200_17610_2_not_null,CHECK,null,null,null
api_usage,2200_17610_3_not_null,CHECK,null,null,null
api_usage,2200_17610_1_not_null,CHECK,null,null,null
api_usage,api_usage_pkey,PRIMARY KEY,date,api_usage,date
api_usage,api_usage_pkey,PRIMARY KEY,api,api_usage,api
api_usage,api_usage_pkey,PRIMARY KEY,api,api_usage,date
api_usage,api_usage_pkey,PRIMARY KEY,date,api_usage,api
fundamentals_snapshot,2200_26349_21_not_null,CHECK,null,null,null
fundamentals_snapshot,2200_26349_1_not_null,CHECK,null,null,null
fundamentals_snapshot,2200_26349_2_not_null,CHECK,null,null,null
fundamentals_snapshot,fundamentals_snapshot_pkey,PRIMARY KEY,symbol,fundamentals_snapshot,symbol
news_rankings,2200_26049_2_not_null,CHECK,null,null,null
news_rankings,2200_26049_1_not_null,CHECK,null,null,null
news_rankings,2200_26049_4_not_null,CHECK,null,null,null
news_rankings,2200_26049_3_not_null,CHECK,null,null,null
news_rankings,news_rankings_pkey,PRIMARY KEY,user_id,news_rankings,user_id
portfolio_correlations,2200_25518_7_not_null,CHECK,null,null,null
portfolio_correlations,2200_25518_8_not_null,CHECK,null,null,null
portfolio_correlations,2200_25518_9_not_null,CHECK,null,null,null
portfolio_correlations,2200_25518_1_not_null,CHECK,null,null,null
portfolio_correlations,2200_25518_6_not_null,CHECK,null,null,null
portfolio_correlations,2200_25518_2_not_null,CHECK,null,null,null
portfolio_correlations,2200_25518_5_not_null,CHECK,null,null,null
portfolio_correlations,2200_25518_4_not_null,CHECK,null,null,null
portfolio_correlations,2200_25518_3_not_null,CHECK,null,null,null
portfolio_correlations,portfolio_correlations_pkey,PRIMARY KEY,computed_at,portfolio_correlations,user_id
portfolio_correlations,portfolio_correlations_pkey,PRIMARY KEY,user_id,portfolio_correlations,computed_at
portfolio_correlations,portfolio_correlations_pkey,PRIMARY KEY,user_id,portfolio_correlations,user_id
portfolio_correlations,portfolio_correlations_pkey,PRIMARY KEY,computed_at,portfolio_correlations,computed_at
portfolio_transactions,2200_25719_1_not_null,CHECK,null,null,null
portfolio_transactions,2200_25719_2_not_null,CHECK,null,null,null
portfolio_transactions,2200_25719_3_not_null,CHECK,null,null,null
portfolio_transactions,portfolio_transactions_pkey,PRIMARY KEY,user_id,portfolio_transactions,user_id
portfolios,2200_17601_4_not_null,CHECK,null,null,null
portfolios,2200_17601_3_not_null,CHECK,null,null,null
portfolios,2200_17601_2_not_null,CHECK,null,null,null
portfolios,2200_17601_1_not_null,CHECK,null,null,null
portfolios,portfolios_pkey,PRIMARY KEY,user_id,portfolios,user_id
price_alerts,2200_26392_6_not_null,CHECK,null,null,null
price_alerts,2200_26392_4_not_null,CHECK,null,null,null
price_alerts,2200_26392_3_not_null,CHECK,null,null,null
price_alerts,2200_26392_2_not_null,CHECK,null,null,null
price_alerts,2200_26392_8_not_null,CHECK,null,null,null
price_alerts,2200_26392_5_not_null,CHECK,null,null,null
price_alerts,2200_26392_1_not_null,CHECK,null,null,null
price_alerts,price_alerts_item_id_fkey,FOREIGN KEY,item_id,watchlist_items,id
price_alerts,price_alerts_pkey,PRIMARY KEY,id,price_alerts,id
price_alerts,price_alerts_item_id_direction_key,UNIQUE,direction,price_alerts,item_id
price_alerts,price_alerts_item_id_direction_key,UNIQUE,direction,price_alerts,direction
price_alerts,price_alerts_item_id_direction_key,UNIQUE,item_id,price_alerts,item_id
price_alerts,price_alerts_item_id_direction_key,UNIQUE,item_id,price_alerts,direction
push_subscriptions,2200_25859_1_not_null,CHECK,null,null,null
push_subscriptions,2200_25859_2_not_null,CHECK,null,null,null
push_subscriptions,2200_25859_3_not_null,CHECK,null,null,null
push_subscriptions,2200_25859_4_not_null,CHECK,null,null,null
push_subscriptions,push_subscriptions_pkey,PRIMARY KEY,endpoint,push_subscriptions,endpoint
rejected_candidates,2200_26338_4_not_null,CHECK,null,null,null
rejected_candidates,2200_26338_2_not_null,CHECK,null,null,null
rejected_candidates,2200_26338_5_not_null,CHECK,null,null,null
rejected_candidates,2200_26338_1_not_null,CHECK,null,null,null
rejected_candidates,2200_26338_3_not_null,CHECK,null,null,null
rejected_candidates,rejected_candidates_pkey,PRIMARY KEY,id,rejected_candidates,id
rejected_candidates,rejected_candidates_user_id_symbol_key,UNIQUE,symbol,rejected_candidates,symbol
rejected_candidates,rejected_candidates_user_id_symbol_key,UNIQUE,symbol,rejected_candidates,user_id
rejected_candidates,rejected_candidates_user_id_symbol_key,UNIQUE,user_id,rejected_candidates,user_id
rejected_candidates,rejected_candidates_user_id_symbol_key,UNIQUE,user_id,rejected_candidates,symbol
screen_runs,2200_26359_5_not_null,CHECK,null,null,null
screen_runs,2200_26359_1_not_null,CHECK,null,null,null
screen_runs,2200_26359_2_not_null,CHECK,null,null,null
screen_runs,2200_26359_3_not_null,CHECK,null,null,null
screen_runs,2200_26359_4_not_null,CHECK,null,null,null
screen_runs,screen_runs_pkey,PRIMARY KEY,id,screen_runs,id
theme_candidates,2200_25830_1_not_null,CHECK,null,null,null
theme_candidates,2200_25830_5_not_null,CHECK,null,null,null
theme_candidates,2200_25830_4_not_null,CHECK,null,null,null
theme_candidates,2200_25830_3_not_null,CHECK,null,null,null
theme_candidates,2200_25830_2_not_null,CHECK,null,null,null
theme_candidates,theme_candidates_pkey,PRIMARY KEY,thesis_version,theme_candidates,user_id
theme_candidates,theme_candidates_pkey,PRIMARY KEY,user_id,theme_candidates,thesis_key
theme_candidates,theme_candidates_pkey,PRIMARY KEY,user_id,theme_candidates,thesis_version
theme_candidates,theme_candidates_pkey,PRIMARY KEY,user_id,theme_candidates,user_id
theme_candidates,theme_candidates_pkey,PRIMARY KEY,thesis_key,theme_candidates,thesis_key
theme_candidates,theme_candidates_pkey,PRIMARY KEY,thesis_key,theme_candidates,thesis_version
theme_candidates,theme_candidates_pkey,PRIMARY KEY,thesis_key,theme_candidates,user_id
theme_candidates,theme_candidates_pkey,PRIMARY KEY,thesis_version,theme_candidates,thesis_key
theme_candidates,theme_candidates_pkey,PRIMARY KEY,thesis_version,theme_candidates,thesis_version
